what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1340796982723
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340796982723
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340796982723
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340796982723
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340796982723
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340796982723
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340796982723
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340796982723
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340796982723
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1340796982723
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1340796982723
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340796982723
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340796982723
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340796982723
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340796982739
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340796982739
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340796982739
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340796982739
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340796982739
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1340796982739
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1340796982739
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1340796982739
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1340796982739
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1340796982739
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1340796982739
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1340796982739
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1340796982739
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1340796982754
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340796982754
os,sysinfo,,,"win32",1340796982754
arch,sysinfo,,,"x86_64",1340796982754
ws,sysinfo,,,"win32",1340796982754
locale,sysinfo,,,"pt_BR",1340796982754
processors,sysinfo,,,"2",1340796982754
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340796982754
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1340796982754
java.specification.name,sysinfo,,,"Java Platform API Specification",1340796982754
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340796982754
java.specification.version,sysinfo,,,"1.7",1340796982754
java.vendor,sysinfo,,,"Oracle Corporation",1340796982754
java.version,sysinfo,,,"1.7.0_03",1340796982754
java.vm.info,sysinfo,,,"mixed mode",1340796982754
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340796982754
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340796982754
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340796982754
java.vm.specification.version,sysinfo,,,"1.7",1340796982754
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340796982754
java.vm.version,sysinfo,,,"22.1-b02",1340796982754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340796994142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340797141266
